Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,23735.423828,24316.916016,23649.960938,24165.556641,24165.556641,33508045052
2021-01-02,24167.451172,27321.906250,23972.966797,26474.892578,26474.892578,55925382232
2021-01-03,26476.656250,28519.630859,26413.128906,26760.720703,26760.720703,64216240796
2021-01-04,26784.332031,27294.240234,23363.980469,26094.005859,26094.005859,66241895056
2021-01-05,26098.189453,28009.367188,24633.167969,27639.482422,27639.482422,54923202611
2021-01-06,27656.708984,29889.705078,27254.718750,29844.859375,29844.859375,61019450973
2021-01-07,29852.566406,32748.246094,29653.542969,32089.447266,32089.447266,69085552572
2021-01-08,32098.187500,34261.718750,30048.318359,33372.281250,33372.281250,72071598504
2021-01-09,33364.945313,33894.769531,31886.201172,32928.058594,32928.058594,50702797264
2021-01-10,32927.789063,33881.550781,29440.859375,31472.685547,31472.685547,65626762864
2021-01-11,31464.554688,31464.554688,25108.531250,29247.208984,29247.208984,101409092304
2021-01-12,29205.849609,30067.740234,26899.251953,27786.228516,27786.228516,61246642389
2021-01-13,27779.806641,30918.484375,26690.492188,30682.929688,30682.929688,57033976442
2021-01-14,30690.121094,32956.898438,30354.292969,32250.857422,32250.857422,52355450869
2021-01-15,32225.658203,32558.050781,28660.187500,30485.841797,30485.841797,56095675651
2021-01-16,30482.765625,31345.980469,29509.464844,29950.035156,29950.035156,47772009926
2021-01-17,29938.041016,30384.218750,28204.253906,29661.734375,29661.734375,43392810402
2021-01-18,29662.529297,30927.671875,28899.033203,30328.933594,30328.933594,40994649866
2021-01-19,30339.000000,31129.619141,29713.658203,29713.658203,29713.658203,47156737845
2021-01-20,29697.433594,29955.806641,27749.525391,29342.677734,29342.677734,55168197409
2021-01-21,29344.037109,29349.662109,24863.666016,25338.507813,25338.507813,62178072138
2021-01-22,25331.873047,27783.740234,23802.712891,27116.148438,27116.148438,63430252390
2021-01-23,27099.712891,27402.339844,25868.134766,26340.009766,26340.009766,39718049871
2021-01-24,26337.326172,27059.845703,25550.689453,26538.091797,26538.091797,39979537424
2021-01-25,26535.148438,28648.330078,26428.945313,26654.597656,26654.597656,49326841880
2021-01-26,26648.191406,26962.826172,25522.394531,26775.673828,26775.673828,49535981991
2021-01-27,26770.888672,26770.888672,24326.740234,25144.740234,25144.740234,51703736731
2021-01-28,25151.757813,26367.982422,24827.541016,26110.988281,26110.988281,65132391850
2021-01-29,28312.972656,31619.605469,26499.837891,28272.550781,28272.550781,97130862506
2021-01-30,28255.701172,28700.072266,27139.189453,28234.417969,28234.417969,53669896754
2021-01-31,28235.537109,28249.916016,26587.171875,27316.099609,27316.099609,43517327759
2021-02-01,27316.281250,28640.814453,26701.185547,27790.582031,27790.582031,50879442007
2021-02-02,27787.287109,29868.898438,27758.376953,29501.521484,29501.521484,52413239715
2021-02-03,29501.964844,31129.619141,29442.216797,31119.447266,31119.447266,50797207476
2021-02-04,31121.949219,32148.943359,30341.818359,30859.554688,30859.554688,57528804826
2021-02-05,30864.136719,31829.679688,30629.386719,31658.248047,31658.248047,48634051191
2021-02-06,31653.335938,33900.222656,31653.335938,32588.472656,32588.472656,59196399696
2021-02-07,32575.341797,32883.785156,31078.097656,32288.650391,32288.650391,54363501629
2021-02-08,32274.861328,38335.863281,31629.582031,38329.667969,38329.667969,84188369335
2021-02-09,38320.148438,39742.187500,37317.621094,38362.296875,38362.296875,75773512740
2021-02-10,38352.933594,38880.101563,36177.203125,37065.046875,37065.046875,72038065748
2021-02-11,37048.980469,39940.246094,36473.285156,39494.441406,39494.441406,67093600562
2021-02-12,39467.816406,40177.792969,38387.746094,39194.921875,39194.921875,63163420949
2021-02-13,39183.660156,39641.742188,38275.906250,38864.359375,38864.359375,57960068600
2021-02-14,38871.777344,40829.730469,38871.777344,40194.054688,40194.054688,58783505751
2021-02-15,40176.929688,40319.023438,38210.527344,39518.808594,39518.808594,63525021825
2021-02-16,39518.316406,41385.671875,38881.414063,40700.742188,40700.742188,63739498591
2021-02-17,40706.867188,43628.312500,40604.152344,43293.167969,43293.167969,67095762025
2021-02-18,43286.496094,43561.957031,42287.222656,42739.449219,42739.449219,43049516673
2021-02-19,42736.292969,46308.125000,42149.527344,46119.000000,46119.000000,52396611048
2021-02-20,46118.339844,47453.429688,45077.945313,46293.437500,46293.437500,56233769904
2021-02-21,46267.894531,48134.503906,45941.148438,47456.125000,47456.125000,42802585284
2021-02-22,47450.183594,47461.765625,40337.863281,44563.242188,44563.242188,75675282178
2021-02-23,44561.277344,44561.277344,37269.808594,40181.332031,40181.332031,87319805134
2021-02-24,40190.105469,42211.421875,38837.585938,40844.414063,40844.414063,52340584486
2021-02-25,40847.492188,42492.488281,38735.164063,38735.164063,38735.164063,44832195559
2021-02-26,38806.402344,40021.406250,36636.480469,38385.910156,38385.910156,290727102068
2021-02-27,38390.062500,39970.886719,37498.867188,38260.480469,38260.480469,38030607901
2021-02-28,38265.089844,38697.835938,35819.453125,37332.503906,37332.503906,44202316989
